date,MSFT,BRKA,MMM,KO,JPM
01/08/2017,70.931496,271450,183.651657,40.604355,82.070465
01/09/2017,71.042374,274740,189.752411,40.122982,86.242165
01/10/2017,79.330177,280470,208.094818,41.313805,90.847275
01/11/2017,80.274361,291500,219.801773,41.125118,94.929558
01/12/2017,81.990669,297600,213.851028,41.561928,97.12751
01/01/2018,91.067711,323375,227.597733,43.110989,105.056473
01/02/2018,89.879158,310250,213.97821,39.152279,105.44854
01/03/2018,87.893845,299100,200.626221,39.34251,100.399796
01/04/2018,90.060593,290650,177.659119,39.488754,99.313354
01/05/2018,95.183823,287200,180.254669,39.296841,98.192818
01/06/2018,95.37394,282040,181.018188,40.082783,95.614342
01/07/2018,102.598785,301550,195.373062,42.993759,105.478577
01/08/2018,108.643684,315800,194.084763,41.094398,105.710426
01/09/2018,111.042427,320000,195.191162,42.588066,104.105125
01/10/2018,103.702377,307705,176.247299,44.521786,100.580826
01/11/2018,107.663681,326000,192.606628,46.86504,103.301208
01/12/2018,99.040863,306000,177.712036,44.377117,90.693993
01/01/2019,101.829651,311500,186.814972,45.108147,96.156807
01/02/2019,109.240402,302200,193.427628,42.493324,97.743164
01/03/2019,115.494392,301215,195.13121,43.917889,94.81163
01/04/2019,127.891884,325080,177.973434,46.381153,108.691986
01/05/2019,121.115356,297060,150.025101,46.44733,100.001099
01/06/2019,131.667801,318350,164.180618,48.139591,105.512695
01/07/2019,133.938263,308666,165.487686,50.144634,109.476494
01/08/2019,135.501053,303078,153.174622,52.440826,104.415825
01/09/2019,137.106079,311832,157.137833,51.86916,111.857796
01/10/2019,141.385986,315027,157.701797,52.238796,118.729507
01/11/2019,149.285172,330495,162.27063,51.250259,126.233727
01/12/2019,156.04689,339590,170.086777,53.518559,133.553284
01/01/2020,168.445557,335996,152.964325,56.46764,126.808548
01/02/2020,160.311722,309096,143.882492,51.720104,111.954262
01/03/2020,156.483047,272000,132.80127,42.785843,86.807693
01/04/2020,177.815781,281700,147.792633,44.760712,92.332619
01/05/2020,181.824356,278640,152.189835,45.531273,94.802139
01/06/2020,202.489105,267300,153.257187,43.580494,91.635895
01/07/2020,203.981583,293631,147.833893,46.496105,94.149399
01/08/2020,224.398651,327560,160.164032,48.750042,98.559059
01/09/2020,209.780777,320001,158.806213,48.59256,94.702866
01/10/2020,201.941315,302500,158.58812,47.6861,96.444054
01/11/2020,213.511017,343688,171.248581,51.198555,117.037125
01/12/2020,222.419998,347815,174.789993,54.84,126.161423
01/01/2021,224.339996,352801,170.220001,48.68,134.997787
