AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.467785,82312000;2019-07-09,112.279999,113.489998,112.150002,113.349998,107.732864,8947300;2019-07-09,136.000000,136.970001,135.800003,136.460007,133.816803,19953100
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.956955,71588400;2019-07-10,113.370003,113.830002,112.739998,113.019997,107.419212,9242300;2019-07-10,137.130005,138.580002,137.020004,137.850006,135.179916,24204400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.593155,80767200;2019-07-11,113.370003,114.360001,113.120003,114.099998,108.445702,11595200;2019-07-11,138.199997,139.220001,137.869995,138.399994,135.719223,22327900
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.974163,70380800;2019-07-12,114.129997,115.349998,113.930000,115.300003,109.586235,10783400;2019-07-12,138.850006,139.130005,138.009995,138.899994,136.209549,18936800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.443680,67789600;2019-07-15,115.540001,115.570000,113.529999,113.900002,108.255600,12946600;2019-07-15,139.440002,139.539993,138.460007,138.899994,136.209549,16651500
2019-07-16,51.147499,51.527500,50.875000,51.125000,50.269142,67467200;2019-07-16,113.480003,115.500000,112.919998,115.120003,109.415154,16945000;2019-07-16,138.960007,139.050003,136.520004,137.080002,134.424774,22726100
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.986462,56430000;2019-07-17,114.430000,114.940002,113.730003,113.989998,108.341148,13120900;2019-07-17,137.699997,137.929993,136.220001,136.270004,133.630493,20211000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.554291,74162400;2019-07-18,113.930000,115.070000,113.550003,114.669998,108.987450,9397200;2019-07-18,135.550003,136.619995,134.669998,136.419998,133.777588,30381800
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.799641,83717200;2019-07-19,114.889999,115.120003,113.400002,113.540001,107.913452,10402800;2019-07-19,140.220001,140.669998,136.449997,136.619995,133.973709,48992400
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.937756,89111600;2019-07-22,112.910004,114.449997,112.769997,114.269997,108.607269,9061100;2019-07-22,137.410004,139.190002,137.330002,138.429993,135.748627,25074900
2019-07-23,52.115002,52.227501,51.822498,52.209999,51.335976,73420800;2019-07-23,114.879997,116.449997,114.820000,116.360001,110.593712,12752200;2019-07-23,139.759995,139.990005,138.029999,139.289993,136.591995,18034600
2019-07-24,51.917500,52.287498,51.792500,52.167500,51.294189,59966400;2019-07-24,115.580002,116.879997,115.519997,116.830002,111.040421,10011000;2019-07-24,138.899994,140.740005,138.850006,140.720001,137.994293,20738300
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.888599,55638400;2019-07-25,116.889999,117.239998,115.320000,115.709999,109.975906,10138400;2019-07-25,140.429993,140.610001,139.320007,140.190002,137.474548,18356900
2019-07-26,51.869999,52.432499,51.785000,51.935001,51.065586,70475600;2019-07-26,115.769997,116.510002,115.529999,116.220001,110.460640,12800400;2019-07-26,140.369995,141.679993,140.300003,141.339996,138.602264,19037600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.542461,86693600;2019-07-29,116.459999,117.180000,115.790001,115.849998,110.108971,8500400;2019-07-29,141.500000,141.509995,139.369995,141.029999,138.298279,16605900
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.321232,135742800;2019-07-30,115.190002,116.080002,114.760002,115.589996,109.861862,7121100;2019-07-30,140.139999,141.220001,139.800003,140.350006,137.631454,16846500
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.368397,277125600;2019-07-31,116.099998,116.180000,114.860001,116.000000,110.251549,13648000;2019-07-31,140.330002,140.490005,135.080002,136.270004,133.630493,38598800
2019-08-01,53.474998,54.507500,51.685001,52.107498,51.235191,216071600;2019-08-01,115.330002,116.800003,112.599998,112.940002,107.343193,15664500;2019-08-01,137.000000,140.940002,136.929993,138.059998,135.385788,40557500
2019-08-02,51.382500,51.607498,50.407501,51.005001,50.151157,163448400;2019-08-02,112.400002,113.430000,111.400002,112.930000,107.333679,11025500;2019-08-02,138.089996,138.320007,135.259995,136.899994,134.248260,30791600
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.525852,209572000;2019-08-05,110.790001,110.980003,108.269997,109.570000,104.140182,15855300;2019-08-05,133.300003,133.929993,130.779999,132.210007,129.649139,42749600
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.425529,143299200;2019-08-06,110.050003,110.500000,108.339996,110.430000,104.957573,10203500;2019-08-06,133.800003,135.679993,133.210007,134.690002,132.081100,32696700
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.926994,133457600;2019-08-07,108.000000,108.279999,105.940002,108.029999,102.676498,17320900;2019-08-07,133.789993,135.649994,131.830002,135.279999,132.659637,33414500
2019-08-08,50.049999,50.882500,49.847500,50.857498,50.006123,108038000;2019-08-08,109.050003,110.080002,108.720001,109.860001,104.415825,10903300;2019-08-08,136.600006,138.990005,135.929993,138.889999,136.199722,27496500
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.594051,98478800;2019-08-09,109.349998,110.449997,108.290001,109.739998,104.301750,9980800;2019-08-09,138.610001,139.380005,136.460007,137.710007,135.042587,23466700
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.468208,89927600;2019-08-12,108.440002,108.510002,107.209999,107.680000,102.343842,9393700;2019-08-12,137.070007,137.860001,135.240005,135.789993,133.159775,20484300
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.563107,188874000;2019-08-13,107.949997,110.330002,107.029999,109.339996,103.921577,12124700;2019-08-13,136.050003,138.800003,135.000000,138.600006,135.915359,25154600
2019-08-14,50.790001,51.610001,50.647499,50.687500,50.028328,146189600;2019-08-14,106.300003,106.910004,104.449997,104.800003,99.606567,19491800;2019-08-14,136.360001,136.919998,133.669998,133.979996,131.822342,32527300
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.779110,108909600;2019-08-15,104.820000,106.379997,104.339996,105.199997,99.986748,13365600;2019-08-15,134.389999,134.580002,132.250000,133.679993,131.527161,28074400
2019-08-16,51.070000,51.790001,50.959999,51.625000,50.953636,110481600;2019-08-16,106.370003,107.980003,105.870003,107.720001,102.381874,11830600;2019-08-16,134.880005,136.460007,134.720001,136.130005,133.937714,24449100
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.903625,97654400;2019-08-19,109.629997,109.750000,108.419998,108.690002,103.303795,8265400;2019-08-19,137.850006,138.550003,136.889999,138.410004,136.181030,24355700
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.906090,107537200;2019-08-20,107.849998,108.440002,107.239998,107.309998,101.992180,8374000;2019-08-20,138.210007,138.710007,137.240005,137.259995,135.049515,21170800
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.468678,86141600;2019-08-21,108.209999,108.430000,107.449997,107.610001,102.277313,8189300;2019-08-21,138.550003,139.490005,138.000000,138.789993,136.554871,14970300
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.424263,89014800;2019-08-22,108.370003,109.269997,107.930000,108.720001,103.332314,9343400;2019-08-22,138.660004,139.199997,136.289993,137.779999,135.561142,18697000
2019-08-23,52.357498,53.012501,50.250000,50.660000,50.001186,187272000;2019-08-23,108.000000,108.779999,105.110001,106.019997,100.766106,14762300;2019-08-23,137.190002,138.350006,132.800003,133.389999,131.241837,38508600
2019-08-26,51.465000,51.797501,51.264999,51.622501,50.951172,104174400;2019-08-26,106.620003,106.989998,106.010002,106.870003,101.573990,8209500;2019-08-26,134.990005,135.559998,133.899994,135.449997,133.268677,20312600
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.376244,103493200;2019-08-27,107.349998,107.559998,104.839996,105.739998,100.499985,14331800;2019-08-27,136.389999,136.720001,134.660004,135.740005,133.553986,23102100
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.714291,63755200;2019-08-28,105.080002,107.209999,105.040001,106.800003,101.507454,10585500;2019-08-28,134.880005,135.759995,133.550003,135.559998,133.376877,17393300
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.572975,83962000;2019-08-29,108.139999,109.889999,108.019997,109.220001,103.807541,10002200;2019-08-29,137.250000,138.440002,136.910004,138.119995,135.895660,20168700
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.506355,84573600;2019-08-30,109.839996,110.559998,109.470001,109.860001,104.415825,10170300;2019-08-30,139.149994,139.179993,136.270004,137.860001,135.639877,23940100
2019-09-03,51.607498,51.744999,51.055000,51.424999,50.756233,80092000;2019-09-03,108.980003,108.989998,107.320000,108.559998,103.180237,9868800;2019-09-03,136.610001,137.199997,135.699997,136.039993,133.849152,18869300
2019-09-04,52.097500,52.369999,51.830002,52.297501,51.617390,76752400;2019-09-04,109.449997,110.220001,108.559998,109.870003,104.425323,6929200;2019-09-04,137.300003,137.690002,136.479996,137.630005,135.413574,17995900
2019-09-05,53.000000,53.492500,52.877499,53.320000,52.626595,95654800;2019-09-05,111.250000,113.720001,111.199997,112.370003,106.801430,13224700;2019-09-05,139.110001,140.380005,138.759995,140.050003,137.794601,26101800
2019-09-06,53.512501,53.605000,53.127499,53.314999,52.621658,77449200;2019-09-06,112.660004,112.980003,111.959999,112.610001,107.029533,7836600;2019-09-06,140.029999,140.179993,138.199997,139.100006,136.859909,20824500
2019-09-09,53.709999,54.110001,52.767502,53.542500,52.846199,109237600;2019-09-09,113.709999,116.059998,113.599998,115.400002,109.681282,13985100;2019-09-09,139.589996,139.750000,136.460007,137.520004,135.305359,25773900
2019-09-10,53.465000,54.195000,52.927502,54.174999,53.470470,127111600;2019-09-10,116.300003,117.269997,115.730003,116.870003,111.078430,14333100;2019-09-10,136.800003,136.889999,134.509995,136.080002,133.888535,28903400
2019-09-11,54.517502,55.927502,54.432499,55.897499,55.170570,177158400;2019-09-11,116.889999,117.199997,115.379997,117.190002,111.382576,9919200;2019-09-11,135.910004,136.270004,135.089996,136.119995,133.927872,24726100
2019-09-12,56.200001,56.605000,55.715000,55.772499,55.047195,128906800;2019-09-12,116.550003,118.470001,115.919998,117.910004,112.066895,12283500;2019-09-12,137.850006,138.419998,136.869995,137.520004,135.305359,27010000
2019-09-13,55.000000,55.197498,54.255001,54.687500,53.976303,159053200;2019-09-13,119.000000,120.400002,118.750000,120.230003,114.271919,16257200;2019-09-13,137.779999,138.059998,136.570007,137.320007,135.108551,23363100
2019-09-16,54.432499,55.032501,54.389999,54.974998,54.260071,84632400;2019-09-16,118.900002,119.870003,118.379997,119.160004,113.254944,11993900;2019-09-16,135.830002,136.699997,135.660004,136.330002,134.134491,16731400
2019-09-17,54.990002,55.205002,54.779999,55.174999,54.457470,73274800;2019-09-17,118.419998,118.610001,117.239998,118.570000,112.694183,10735400;2019-09-17,136.960007,137.520004,136.429993,137.389999,135.177429,17814200
2019-09-18,55.264999,55.712502,54.860001,55.692501,54.968235,101360000;2019-09-18,118.320000,120.080002,117.750000,119.760002,113.825211,10665600;2019-09-18,137.360001,138.669998,136.529999,138.520004,136.289230,23982100
2019-09-19,55.502499,55.939999,55.092499,55.240002,54.521626,88242400;2019-09-19,119.699997,120.339996,119.089996,119.379997,113.464043,9382600;2019-09-19,140.300003,142.369995,140.070007,141.070007,138.798172,35772100
2019-09-20,55.345001,55.639999,54.367500,54.432499,53.724625,221652400;2019-09-20,119.739998,120.339996,118.870003,118.900002,113.007828,21862800;2019-09-20,141.009995,141.649994,138.250000,139.440002,137.194412,39167300
2019-09-23,54.737499,54.959999,54.412498,54.680000,53.968906,76662000;2019-09-23,117.779999,119.120003,117.680000,118.879997,112.988823,9135100;2019-09-23,139.229996,139.630005,138.440002,139.139999,136.899246,17139300
2019-09-24,55.257500,55.622501,54.297501,54.419998,53.712284,124763200;2019-09-24,118.750000,119.260002,117.040001,117.330002,111.515640,11696500;2019-09-24,140.360001,140.690002,136.880005,137.380005,135.167603,29773200
2019-09-25,54.637501,55.375000,54.285000,55.257500,54.538898,87613600;2019-09-25,117.269997,118.360001,117.120003,118.000000,112.152428,9389400;2019-09-25,137.500000,139.960007,136.029999,139.360001,137.115707,21382000
2019-09-26,55.000000,55.235001,54.707500,54.972500,54.257603,75334000;2019-09-26,117.879997,118.050003,116.949997,117.029999,111.230499,9899200;2019-09-26,139.440002,140.179993,138.440002,139.539993,137.292786,17456600
2019-09-27,55.134998,55.240002,54.320000,54.705002,53.993587,101408000;2019-09-27,117.959999,118.639999,117.279999,117.720001,111.886299,10207800;2019-09-27,140.149994,140.360001,136.649994,137.729996,135.511932,22477700
2019-09-30,55.224998,56.145000,55.197498,55.992500,55.264339,103909600;2019-09-30,118.360001,118.769997,117.220001,117.690002,111.857796,9755000;2019-09-30,138.050003,139.220001,137.779999,139.029999,136.791000,17280900
2019-10-01,56.267502,57.055000,56.049999,56.147499,55.417320,139223200;2019-10-01,118.400002,119.000000,115.410004,115.550003,109.823837,11250300;2019-10-01,139.660004,140.250000,137.000000,137.070007,134.862610,21466600
2019-10-02,55.764999,55.895000,54.482498,54.740002,54.028126,138449200;2019-10-02,114.809998,114.900002,112.930000,113.250000,107.637833,12548700;2019-10-02,136.250000,136.369995,133.580002,134.649994,132.481552,30521700
2019-10-03,54.607498,55.240002,53.782501,55.205002,54.487080,114426000;2019-10-03,112.269997,112.910004,110.519997,112.190002,107.484528,12735200;2019-10-03,134.949997,136.750000,133.220001,136.279999,134.085312,24132900
2019-10-04,56.410000,56.872501,55.972500,56.752499,56.014454,138478800;2019-10-04,112.339996,114.940002,112.269997,114.620003,109.812622,9453100;2019-10-04,136.750000,138.250000,136.419998,138.119995,135.895660,22897700
2019-10-07,56.567501,57.482498,56.459999,56.764999,56.026794,122306000;2019-10-07,114.190002,115.500000,114.070000,114.370003,109.573105,6771600;2019-10-07,137.139999,138.179993,137.020004,137.119995,134.911774,15303700
2019-10-08,56.455002,57.014999,56.082500,56.099998,55.370438,111820000;2019-10-08,113.059998,113.059998,111.660004,111.820000,107.130043,10806300;2019-10-08,137.080002,137.759995,135.619995,135.669998,133.485138,25550500
2019-10-09,56.757500,56.947498,56.410000,56.757500,56.019390,74770400;2019-10-09,112.669998,113.160004,112.070000,112.629997,107.906075,7273700;2019-10-09,137.460007,138.699997,136.970001,138.240005,136.013748,19749900
2019-10-10,56.982498,57.610001,56.825001,57.522499,56.774445,113013600;2019-10-10,113.139999,115.400002,113.000000,114.209999,109.419815,10994100;2019-10-10,138.490005,139.669998,138.250000,139.100006,136.859909,17654600
2019-10-11,58.237499,59.410000,58.077499,59.052502,58.284546,166795600;2019-10-11,116.029999,117.989998,115.870003,116.139999,111.268852,15076500;2019-10-11,140.119995,141.029999,139.500000,139.679993,137.430542,25446000
2019-10-14,58.724998,59.532501,58.667500,58.967499,58.200645,96427600;2019-10-14,115.849998,116.870003,115.660004,116.449997,111.565857,8779000;2019-10-14,139.690002,140.289993,139.520004,139.550003,137.302643,13304300
2019-10-15,59.097500,59.412498,58.720001,58.830002,58.064941,87360000;2019-10-15,118.849998,121.589996,117.870003,119.959999,114.928635,23379000;2019-10-15,140.059998,141.789993,139.809998,141.570007,139.290131,19695700
2019-10-16,58.342499,58.810001,58.299999,58.592499,57.830528,73903200;2019-10-16,119.959999,120.620003,119.379997,119.680000,114.660385,11087700;2019-10-16,140.789993,140.990005,139.529999,140.410004,138.148804,20751600
2019-10-17,58.772499,59.037498,58.380001,58.820000,58.055065,67585200;2019-10-17,120.750000,121.570000,119.879997,120.349998,115.302292,10818500;2019-10-17,140.949997,141.419998,139.020004,139.690002,137.440399,21460600
2019-10-18,58.647499,59.395000,58.572498,59.102501,58.333900,97433600;2019-10-18,120.000000,121.019997,119.860001,120.559998,115.503479,10417400;2019-10-18,139.759995,140.000000,136.559998,137.410004,135.197113,32273500
2019-10-21,59.380001,60.247501,59.330002,60.127499,59.345562,87247200;2019-10-21,122.050003,123.769997,121.989998,123.550003,118.368073,12714600;2019-10-21,138.449997,138.500000,137.009995,138.429993,136.200668,20078200
2019-10-22,60.290001,60.549999,59.904999,59.990002,59.209858,82293600;2019-10-22,123.449997,125.099998,123.120003,124.790001,119.556061,12549100;2019-10-22,138.970001,140.009995,136.259995,136.369995,134.173859,27431000
2019-10-23,60.525002,60.810001,60.305000,60.794998,60.004383,75828800;2019-10-23,124.199997,125.150002,124.169998,125.120003,119.872215,8828300;2019-10-23,136.880005,137.449997,135.610001,137.240005,135.029846,29844600
2019-10-24,61.127499,61.200001,60.452499,60.895000,60.103081,69275200;2019-10-24,125.290001,125.660004,124.070000,125.029999,119.785988,8020500;2019-10-24,139.389999,140.419998,138.669998,139.940002,137.686371,37029300
2019-10-25,60.790001,61.682499,60.720001,61.645000,60.843334,73477200;2019-10-25,125.000000,126.650002,124.750000,126.029999,120.744057,9055700;2019-10-25,139.339996,141.139999,139.199997,140.729996,138.463623,25959700
2019-10-28,61.855000,62.312500,61.680000,62.262501,61.452797,96572800;2019-10-28,126.570000,127.209999,126.400002,126.510002,121.203918,9522200;2019-10-28,144.399994,145.669998,143.509995,144.190002,141.867935,35280100
2019-10-29,62.242500,62.437500,60.642502,60.822498,60.031528,142839600;2019-10-29,126.059998,127.419998,125.940002,126.430000,121.127274,9797300;2019-10-29,144.080002,144.500000,142.649994,142.830002,140.529831,20589500
2019-10-30,61.189999,61.325001,60.302502,60.814999,60.024124,124522000;2019-10-30,126.050003,126.260002,124.919998,125.730003,120.456642,8513700;2019-10-30,143.520004,145.000000,142.789993,144.610001,142.281174,18496600
2019-10-31,61.810001,62.292500,59.314999,62.189999,61.381241,139162000;2019-10-31,125.489998,125.730003,123.860001,124.919998,119.680611,11589100;2019-10-31,144.899994,144.929993,142.990005,143.369995,141.061111,24605100
2019-11-01,62.384998,63.982498,62.290001,63.955002,63.123295,151125200;2019-11-01,126.199997,127.989998,126.019997,127.800003,122.439812,11682600;2019-11-01,144.259995,144.419998,142.970001,143.720001,141.405502,33128400
2019-11-04,64.332497,64.462502,63.845001,64.375000,63.537827,103272000;2019-11-04,129.080002,129.419998,128.559998,128.820007,123.417046,9159900;2019-11-04,144.830002,145.000000,144.160004,144.550003,142.222137,16912000
2019-11-05,64.262497,64.547501,64.080002,64.282501,63.446533,79897600;2019-11-05,129.389999,130.300003,128.839996,129.100006,123.685303,13747600;2019-11-05,144.970001,145.020004,143.910004,144.460007,142.133606,18250200
2019-11-06,64.192497,64.372498,63.842499,64.309998,63.473675,75864400;2019-11-06,128.690002,129.839996,128.580002,129.300003,123.876900,11231100;2019-11-06,144.369995,144.520004,143.199997,144.059998,141.740005,16575800
2019-11-07,64.684998,65.087502,64.527496,64.857498,64.206245,94940400;2019-11-07,130.429993,131.289993,129.919998,130.000000,124.547539,13528900;2019-11-07,143.839996,144.880005,143.770004,144.259995,141.936783,17786700
2019-11-08,64.672501,65.110001,64.212502,65.035004,64.381958,69986400;2019-11-08,129.880005,130.399994,129.250000,130.380005,124.911621,9293400;2019-11-08,143.979996,145.990005,143.759995,145.960007,143.609436,16732700
2019-11-11,64.574997,65.617500,64.570000,65.550003,64.891792,81821200;2019-11-11,129.600006,130.100006,129.350006,129.919998,124.470909,8679000;2019-11-11,145.339996,146.419998,144.729996,146.110001,143.757004,14362600
2019-11-12,65.387497,65.697502,65.230003,65.489998,64.832382,87388800;2019-11-12,129.630005,130.619995,129.009995,129.160004,123.742783,9099000;2019-11-12,146.279999,147.570007,146.059998,147.070007,144.701553,18641600
2019-11-13,65.282501,66.195000,65.267502,66.117500,65.453590,102734400;2019-11-13,128.130005,128.820007,127.419998,128.479996,123.091293,8023300;2019-11-13,146.740005,147.460007,146.279999,147.309998,144.937683,16919200
2019-11-14,65.937500,66.220001,65.525002,65.660004,65.000694,89182800;2019-11-14,127.720001,128.839996,127.589996,128.600006,123.206276,8483400;2019-11-14,147.020004,148.410004,147.000000,148.059998,145.675598,19729800
2019-11-15,65.919998,66.445000,65.752502,66.440002,65.772850,100206400;2019-11-15,129.229996,129.529999,128.399994,129.529999,124.097267,10163600;2019-11-15,148.929993,149.990005,148.270004,149.970001,147.554840,23485700
2019-11-18,66.449997,66.857498,66.057503,66.775002,66.104492,86703200;2019-11-18,129.559998,130.649994,128.990005,130.619995,125.141533,8749300;2019-11-18,150.070007,150.550003,148.979996,150.339996,147.918900,21534000
2019-11-19,66.974998,67.000000,66.347504,66.572502,65.904015,76167200;2019-11-19,130.990005,131.250000,130.179993,130.580002,125.103233,8824500;2019-11-19,150.880005,151.330002,150.199997,150.389999,147.968063,23935700
2019-11-20,66.385002,66.519997,65.099998,65.797501,65.136803,106234400;2019-11-20,130.300003,130.619995,128.940002,129.630005,124.193077,11782800;2019-11-20,150.309998,150.839996,148.460007,149.619995,147.711365,25696800
2019-11-21,65.922501,66.002502,65.294998,65.502502,64.844772,121395200;2019-11-21,130.000000,130.720001,129.389999,129.929993,124.480484,7705500;2019-11-21,149.399994,149.800003,148.500000,149.479996,147.573151,18576100
2019-11-22,65.647499,65.794998,65.209999,65.445000,64.787834,65325200;2019-11-22,130.149994,131.220001,130.100006,130.789993,125.304405,8167900;2019-11-22,150.070007,150.300003,148.820007,149.589996,147.681793,15901800
2019-11-25,65.677498,66.610001,65.629997,66.592499,65.923813,84020400;2019-11-25,131.250000,132.070007,130.869995,131.490005,125.975060,10068500;2019-11-25,150.000000,151.350006,149.919998,151.229996,149.300858,22420900
2019-11-26,66.735001,66.790001,65.625000,66.072502,65.409035,105207600;2019-11-26,131.820007,131.820007,130.360001,131.669998,126.147499,10490700;2019-11-26,151.360001,152.419998,151.320007,152.029999,150.090637,24620100
2019-11-27,66.394997,66.995003,66.327499,66.959999,66.287636,65235600;2019-11-27,132.289993,132.429993,131.649994,132.059998,126.521141,6607900;2019-11-27,152.330002,152.500000,151.520004,152.320007,150.376953,15184400
2019-11-29,66.650002,67.000000,66.474998,66.812500,66.141602,46617600;2019-11-29,131.869995,132.410004,131.449997,131.759995,126.233727,5712000;2019-11-29,152.100006,152.300003,151.279999,151.380005,149.448944,11977300
2019-12-02,66.817497,67.062500,65.862503,66.040001,65.376869,94487200;2019-12-02,132.309998,132.740005,131.350006,131.470001,125.955879,8615600;2019-12-02,151.809998,151.830002,148.320007,149.550003,147.642288,27418400
2019-12-03,64.577499,64.882500,64.072502,64.862503,64.211189,114430400;2019-12-03,129.770004,129.960007,128.589996,129.779999,124.336761,10361300;2019-12-03,147.490005,149.429993,146.649994,149.309998,147.405350,24066000
2019-12-04,65.267502,65.827499,65.169998,65.434998,64.777939,67181600;2019-12-04,130.380005,132.470001,129.990005,132.339996,126.789406,10318200;2019-12-04,150.139999,150.179993,149.199997,149.850006,147.938461,17574700
2019-12-05,65.947502,66.472504,65.682503,66.394997,65.728294,74424400;2019-12-05,132.679993,133.309998,132.179993,133.059998,127.479195,9587400;2019-12-05,150.050003,150.320007,149.479996,149.929993,148.017441,17869100
2019-12-06,66.870003,67.750000,66.824997,67.677498,66.997925,106075600;2019-12-06,134.690002,135.779999,134.649994,135.039993,129.376160,10170600;2019-12-06,150.990005,151.869995,150.270004,151.750000,149.814209,16403500
2019-12-09,67.500000,67.699997,66.227501,66.730003,66.059944,128042400;2019-12-09,134.630005,135.460007,134.410004,134.410004,128.772583,8498200;2019-12-09,151.070007,152.210007,150.910004,151.360001,149.429199,16687400
2019-12-10,67.150002,67.517502,66.464996,67.120003,66.446022,90420400;2019-12-10,133.250000,134.770004,132.880005,134.500000,128.858810,7532900;2019-12-10,151.289993,151.889999,150.759995,151.130005,149.202133,16476100
2019-12-11,67.202499,67.775002,67.125000,67.692497,67.012764,78756800;2019-12-11,134.289993,135.020004,134.009995,134.179993,128.552231,9011900;2019-12-11,151.539993,151.869995,150.330002,151.699997,149.764847,18856600
2019-12-12,66.945000,68.139999,66.830002,67.864998,67.183548,137310400;2019-12-12,134.490005,138.470001,134.210007,138.020004,132.231186,13717400;2019-12-12,151.649994,153.440002,151.020004,153.240005,151.285217,24612100
2019-12-13,67.864998,68.824997,67.732498,68.787498,68.096771,133587600;2019-12-13,137.949997,138.830002,136.220001,136.809998,131.071899,10592100;2019-12-13,153.000000,154.889999,152.830002,154.529999,152.558746,23845400
2019-12-16,69.250000,70.197502,69.245003,69.964996,69.262459,128186000;2019-12-16,138.380005,138.839996,137.320007,137.339996,131.579697,11372000;2019-12-16,155.110001,155.899994,154.820007,155.529999,153.546005,24144200
2019-12-17,69.892502,70.442497,69.699997,70.102501,69.398575,114158400;2019-12-17,137.729996,138.669998,137.229996,138.179993,132.384445,11546800;2019-12-17,155.449997,155.710007,154.449997,154.690002,152.716705,25425600
2019-12-18,69.949997,70.474998,69.779999,69.934998,69.232750,116028400;2019-12-18,138.149994,139.020004,137.720001,138.039993,132.250320,10381500;2019-12-18,154.300003,155.479996,154.179993,154.369995,152.400803,24129200
2019-12-19,69.875000,70.294998,69.737503,70.004997,69.302048,98369200;2019-12-19,137.759995,138.220001,137.100006,137.350006,131.589279,9350400;2019-12-19,154.000000,155.770004,153.750000,155.710007,153.723709,24958900
2019-12-20,70.557503,70.662498,69.639999,69.860001,69.158508,275978000;2019-12-20,138.020004,138.880005,136.899994,137.240005,131.483887,29992600;2019-12-20,157.350006,158.490005,156.289993,157.410004,155.402023,53477500
2019-12-23,70.132500,71.062500,70.092499,71.000000,70.287064,98572000;2019-12-23,137.600006,137.910004,136.880005,137.199997,131.445557,9738400;2019-12-23,158.119995,158.119995,157.270004,157.410004,155.402023,17718200
2019-12-24,71.172501,71.222504,70.730003,71.067497,70.353882,48478800;2019-12-24,137.330002,137.630005,137.059998,137.580002,131.809601,3324300;2019-12-24,157.479996,157.710007,157.119995,157.380005,155.372406,8989200
2019-12-26,71.205002,72.495003,71.175003,72.477501,71.749733,93121200;2019-12-26,137.889999,139.100006,137.779999,139.039993,133.208389,6770900;2019-12-26,157.559998,158.729996,157.399994,158.669998,156.645950,14520600
2019-12-27,72.779999,73.492500,72.029999,72.449997,71.722488,146266000;2019-12-27,139.300003,139.770004,138.669998,139.139999,133.304199,7868200;2019-12-27,159.449997,159.550003,158.220001,158.960007,156.932251,18412800
2019-12-30,72.364998,73.172501,71.305000,72.879997,72.148178,144114400;2019-12-30,139.899994,140.080002,138.470001,138.630005,132.815598,6963000;2019-12-30,158.990005,159.020004,156.729996,157.589996,155.579727,16348400
2019-12-31,72.482498,73.419998,72.379997,73.412498,72.675339,100805600;2019-12-31,138.509995,139.479996,138.289993,139.399994,133.553284,7201600;2019-12-31,156.770004,157.770004,156.449997,157.699997,155.688324,18369400
2020-01-02,74.059998,75.150002,73.797501,75.087502,74.333511,135480400;2020-01-02,139.789993,141.100006,139.259995,141.089996,135.172424,10803700;2020-01-02,158.779999,160.729996,158.330002,160.619995,158.571075,22622100
2020-01-03,74.287498,75.144997,74.125000,74.357498,73.610840,146322800;2020-01-03,137.500000,139.229996,137.080002,138.339996,133.388611,10386800;2020-01-03,158.320007,159.949997,158.059998,158.619995,156.596588,21116200
2020-01-06,73.447502,74.989998,73.187500,74.949997,74.197395,118387200;2020-01-06,136.559998,138.270004,136.500000,138.229996,133.282562,10259000;2020-01-06,157.080002,159.100006,156.509995,159.029999,157.001373,20813700
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.848442,108872000;2020-01-07,137.279999,137.860001,135.820007,135.880005,131.016678,10531300;2020-01-07,159.320007,159.669998,157.320007,157.580002,155.569855,21634100
2020-01-08,74.290001,76.110001,74.290001,75.797501,75.036385,132079200;2020-01-08,135.699997,137.580002,135.600006,136.940002,132.038727,9695300;2020-01-08,158.929993,160.800003,157.949997,160.089996,158.047836,27746500
