AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,41.660000,42.235001,41.117500,41.669998,40.203072,150347200;2018-04-02,109.959999,110.730003,106.080002,107.849998,98.464279,18822500;2018-04-02,90.470001,90.879997,87.510002,88.519997,85.049690,48515400
2018-04-03,41.910000,42.187500,41.220001,42.097500,40.615520,121112000;2018-04-03,108.360001,109.500000,107.260002,109.330002,99.815468,14050700;2018-04-03,89.580002,90.050003,87.889999,89.709999,86.193031,37213800
2018-04-04,41.220001,43.002499,41.192501,42.902500,41.392178,138422000;2018-04-04,107.099998,111.209999,107.019997,110.989998,101.331009,15302600;2018-04-04,87.849998,92.760002,87.730003,92.330002,88.710327,35560000
2018-04-05,43.145000,43.557499,43.020000,43.200001,41.679203,107732800;2018-04-05,111.629997,112.830002,111.389999,111.879997,102.661537,16627000;2018-04-05,92.440002,93.070000,91.400002,92.379997,88.758362,29771900
2018-04-06,42.742500,43.119999,42.049999,42.095001,40.613106,140021200;2018-04-06,110.550003,111.550003,107.820000,109.089996,100.101433,18906000;2018-04-06,91.489998,92.459999,89.480003,90.230003,86.692642,38026000
2018-04-09,42.470001,43.272499,42.462502,42.512501,41.015907,116070800;2018-04-09,110.010002,112.980003,109.889999,110.400002,101.303497,15974300;2018-04-09,91.040001,93.169998,90.620003,90.769997,87.211479,31533900
2018-04-10,43.250000,43.500000,42.882500,43.312500,41.787750,113634400;2018-04-10,112.129997,112.870003,111.419998,112.510002,103.239647,13951400;2018-04-10,92.389999,93.279999,91.639999,92.879997,89.238754,26812000
2018-04-11,43.057499,43.480000,42.924999,43.110001,41.592369,89726400;2018-04-11,111.660004,111.809998,110.519997,110.620003,101.505371,14503300;2018-04-11,92.010002,93.290001,91.480003,91.860001,88.258743,24872100
2018-04-12,43.352501,43.750000,43.259998,43.535000,42.002415,91557200;2018-04-12,111.559998,114.389999,111.500000,113.370003,104.028778,16435500;2018-04-12,92.430000,94.160004,92.430000,93.580002,89.911316,26758900
2018-04-13,43.695000,43.959999,43.462502,43.682499,42.144722,100497200;2018-04-13,115.019997,115.150002,109.050003,110.300003,101.211739,39152800;2018-04-13,94.050003,94.180000,92.440002,93.080002,89.430923,23346100
2018-04-16,43.757500,44.047501,43.707500,43.955002,42.407627,86313600;2018-04-16,110.940002,111.470001,109.790001,110.209999,101.129158,16580500;2018-04-16,94.070000,94.660004,93.419998,94.169998,90.478180,20288100
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.991322,106421600;2018-04-17,111.370003,111.919998,109.989998,110.209999,101.129158,15501400;2018-04-17,95.000000,96.540001,94.879997,96.070000,92.303688,26771000
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.894844,83018000;2018-04-18,110.529999,111.070000,108.889999,109.320000,100.312485,16081400;2018-04-18,96.220001,96.720001,95.519997,96.440002,92.659195,21043300
2018-04-19,43.439999,43.847500,43.165001,43.200001,41.679203,139235200;2018-04-19,109.529999,111.870003,109.500000,111.720001,102.514725,17911000;2018-04-19,96.440002,97.070000,95.339996,96.110001,92.342125,23552500
2018-04-20,42.650002,42.805000,41.357498,41.430000,39.971523,261964400;2018-04-20,112.300003,112.739998,110.879997,111.470001,102.285332,15584400;2018-04-20,95.910004,96.110001,94.050003,95.000000,91.275635,31154400
2018-04-23,41.707500,41.730000,41.022499,41.310001,39.855740,146062000;2018-04-23,111.570000,111.949997,110.629997,110.930000,101.789818,11285800;2018-04-23,95.739998,96.290001,94.629997,95.349998,91.611923,22331800
2018-04-24,41.417500,41.582500,40.305000,40.735001,39.300983,134768000;2018-04-24,111.750000,112.900002,109.589996,110.410004,101.312668,16453100;2018-04-24,96.239998,96.470001,92.410004,93.120003,89.469337,34524800
2018-04-25,40.654999,41.355000,40.602501,40.912498,39.472229,113528400;2018-04-25,110.269997,110.529999,108.599998,109.989998,100.927269,13548200;2018-04-25,93.300003,93.300003,90.279999,92.309998,88.691101,33729300
2018-04-26,41.029999,41.432499,40.842499,41.055000,39.609722,111852000;2018-04-26,109.970001,110.820000,109.339996,110.099998,101.028206,10299500;2018-04-26,93.550003,95.150002,93.099998,94.260002,90.564659,42529000
2018-04-27,41.000000,41.082500,40.157501,40.580002,39.151443,142623200;2018-04-27,109.550003,110.160004,109.129997,109.400002,100.385887,9384000;2018-04-27,97.599998,97.900002,93.910004,95.820000,92.063492,48272800
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.860565,169709600;2018-04-30,109.750000,110.300003,108.750000,108.779999,99.816986,13744900;2018-04-30,96.330002,96.400002,93.150002,93.519997,89.853653,41523600
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.786770,214277600;2018-05-01,108.449997,108.970001,107.540001,108.779999,99.816986,10503400;2018-05-01,93.209999,95.290001,92.790001,95.000000,91.275635,31408900
2018-05-02,43.807499,44.437500,43.450001,44.142502,42.588531,266157600;2018-05-02,108.110001,109.489998,107.730003,107.919998,99.027832,12162100;2018-05-02,94.989998,95.169998,93.190002,93.510002,89.844063,27471000
2018-05-03,43.970001,44.375000,43.610001,44.222500,42.665707,136272800;2018-05-03,107.589996,107.769997,105.180000,107.239998,98.403854,15379100;2018-05-03,92.959999,94.930000,92.449997,94.070000,90.382095,31142500
2018-05-04,44.562500,46.062500,44.542500,45.957500,44.339626,224805200;2018-05-04,106.430000,108.739998,105.980003,108.430000,99.495819,11967900;2018-05-04,93.320000,95.370003,92.919998,95.160004,91.429367,22531300
2018-05-07,46.294998,46.917500,46.187500,46.290001,44.660423,169805600;2018-05-07,108.760002,109.680000,108.360001,109.370003,100.358376,9356700;2018-05-07,95.169998,96.709999,95.099998,96.220001,92.447807,24242000
