date,JPM,MSFT
14/10/1991,3.379664,1.223491
15/10/1991,3.622304,1.211887
16/10/1991,3.587643,1.203598
17/10/1991,3.448991,1.183703
18/10/1991,3.483653,1.19365
21/10/1991,3.466321,1.206913
22/10/1991,3.483653,1.211887
23/10/1991,3.396996,1.196966
24/10/1991,3.310337,1.196966
25/10/1991,3.327669,1.187019
28/10/1991,3.396996,1.196966
29/10/1991,3.431659,1.203598
30/10/1991,3.448991,1.253333
31/10/1991,3.431659,1.245044
01/11/1991,3.431659,1.228465
04/11/1991,3.362332,1.206913
05/11/1991,3.414327,1.243386
06/11/1991,3.466321,1.26328
07/11/1991,3.518316,1.256649
08/11/1991,3.466321,1.26328
11/11/1991,3.396996,1.293121
12/11/1991,3.466321,1.32462
13/11/1991,3.448991,1.339541
14/11/1991,3.448991,1.316331
15/11/1991,3.310337,1.259965
18/11/1991,3.275673,1.289806
19/11/1991,3.154354,1.276542
20/11/1991,3.189015,1.279859
21/11/1991,3.137021,1.289806
22/11/1991,3.102358,1.273227
25/11/1991,3.085026,1.268254
26/11/1991,3.067694,1.253333
27/11/1991,2.998369,1.26328
29/11/1991,2.929043,1.289806
02/12/1991,3.033032,1.342857
03/12/1991,2.998369,1.344514
04/12/1991,2.946374,1.352804
05/12/1991,2.80772,1.349488
06/12/1991,2.790389,1.382645
09/12/1991,2.75529,1.352804
10/12/1991,2.685092,1.349488
11/12/1991,2.632443,1.336225
12/12/1991,2.790389,1.352804
13/12/1991,2.860589,1.352804
16/12/1991,2.860589,1.354462
17/12/1991,2.73774,1.351146
18/12/1991,2.720192,1.364409
19/12/1991,2.73774,1.362751
20/12/1991,2.843037,1.369382
23/12/1991,2.955486,1.415802
24/12/1991,3.008264,1.409171
26/12/1991,3.096223,1.430723
27/12/1991,3.184185,1.463879
30/12/1991,3.289739,1.468853
31/12/1991,2.990671,1.475484
02/01/1992,3.289739,1.511957
03/01/1992,3.360107,1.498695
06/01/1992,3.483253,1.545114
07/01/1992,3.536028,1.591533
08/01/1992,3.694359,1.647901
09/01/1992,3.870279,1.687689
10/01/1992,3.799911,1.661163
13/01/1992,3.799911,1.686031
14/01/1992,3.993425,1.700952
15/01/1992,4.239715,1.744056
16/01/1992,4.18694,1.69432
17/01/1992,4.028611,1.677743
20/01/1992,3.940651,1.62469
21/01/1992,3.923058,1.583244
22/01/1992,3.887871,1.664479
23/01/1992,3.905465,1.657848
24/01/1992,3.975834,1.652873
27/01/1992,4.028611,1.599823
28/01/1992,4.046203,1.60148
29/01/1992,3.887871,1.651217
30/01/1992,3.975834,1.637954
31/01/1992,3.940651,1.59485
03/02/1992,3.975834,1.657848
04/02/1992,4.081385,1.651217
05/02/1992,4.169348,1.687689
06/02/1992,4.292494,1.674426
07/02/1992,4.327678,1.667795
10/02/1992,4.521189,1.651217
11/02/1992,4.450824,1.62469
12/02/1992,4.591561,1.667795
13/02/1992,4.573966,1.62469
14/02/1992,4.556377,1.571639
18/02/1992,4.538785,1.568324
19/02/1992,4.450824,1.526878
20/02/1992,4.573966,1.558377
21/02/1992,4.714704,1.518589
24/02/1992,4.767483,1.523562
25/02/1992,4.644339,1.535167
26/02/1992,4.66193,1.61806
27/02/1992,4.749889,1.65619
28/02/1992,4.732298,1.637954
02/03/1992,4.679521,1.631322
03/03/1992,4.679521,1.634637
04/03/1992,4.591561,1.62469
05/03/1992,4.433231,1.608113
06/03/1992,4.380453,1.568324
09/03/1992,4.591561,1.578271
10/03/1992,4.556377,1.614744
11/03/1992,4.5036,1.59485
12/03/1992,4.433231,1.606455
13/03/1992,4.521189,1.604796
16/03/1992,4.538785,1.647901
17/03/1992,4.697114,1.697636
18/03/1992,4.732298,1.676085
19/03/1992,4.873037,1.691005
20/03/1992,4.978588,1.704267
23/03/1992,4.890629,1.704267
24/03/1992,4.837849,1.691005
25/03/1992,4.837849,1.704267
26/03/1992,4.925813,1.657848
27/03/1992,4.873037,1.608113
30/03/1992,4.697114,1.591533
31/03/1992,4.65096,1.571639
01/04/1992,4.633208,1.598165
02/04/1992,4.473442,1.551746
03/04/1992,4.402434,1.558377
06/04/1992,4.562201,1.608113
07/04/1992,4.349178,1.538483
08/04/1992,4.189414,1.555061
09/04/1992,4.331428,1.591533
10/04/1992,4.508943,1.538483
13/04/1992,4.508943,1.558377
14/04/1992,4.846228,1.551746
15/04/1992,4.828475,1.709241
16/04/1992,4.86398,1.692662
20/04/1992,4.810725,1.566666
21/04/1992,4.934987,1.54014
22/04/1992,5.112505,1.560034
23/04/1992,5.183513,1.535167
24/04/1992,5.077,1.488748
27/04/1992,5.112505,1.50201
28/04/1992,5.05925,1.445643
29/04/1992,5.041499,1.477142
30/04/1992,4.988242,1.462222
01/05/1992,5.077,1.508642
04/05/1992,5.290022,1.511957
05/05/1992,5.361031,1.545114
06/05/1992,5.467539,1.538483
07/05/1992,5.396531,1.52522
08/05/1992,5.307773,1.518589
11/05/1992,5.361031,1.511957
12/05/1992,5.378782,1.515272
13/05/1992,5.485289,1.495378
14/05/1992,5.396531,1.468853
15/05/1992,5.325526,1.458906
18/05/1992,5.343277,1.495378
19/05/1992,5.361031,1.518589
20/05/1992,5.343277,1.54843
21/05/1992,5.290022,1.546772
22/05/1992,5.290022,1.535167
26/05/1992,5.112505,1.531851
27/05/1992,5.112505,1.52522
28/05/1992,5.094753,1.578271
29/05/1992,5.183513,1.604796
01/06/1992,5.254519,1.647901
02/06/1992,5.307773,1.629664
03/06/1992,5.361031,1.631322
04/06/1992,5.396531,1.626349
05/06/1992,5.378782,1.604796
08/06/1992,5.396531,1.568324
09/06/1992,5.378782,1.52522
10/06/1992,5.414283,1.492063
11/06/1992,5.378782,1.432381
12/06/1992,5.325526,1.492063
15/06/1992,5.290022,1.506983
16/06/1992,5.236767,1.447302
17/06/1992,4.952738,1.439841
18/06/1992,5.023745,1.437354
19/06/1992,5.077,1.462222
22/06/1992,5.023745,1.477142
23/06/1992,5.077,1.462222
24/06/1992,5.05925,1.437354
25/06/1992,5.148006,1.392592
26/06/1992,5.272271,1.327936
29/06/1992,5.279429,1.437354
30/06/1992,5.315222,1.392592
01/07/1992,5.422603,1.434867
02/07/1992,5.565773,1.390105
06/07/1992,5.422603,1.382645
07/07/1992,5.386805,1.352804
08/07/1992,5.368908,1.365237
09/07/1992,5.476289,1.372697
10/07/1992,5.565773,1.382645
13/07/1992,5.404703,1.392592
14/07/1992,5.422603,1.414973
15/07/1992,5.279429,1.422433
16/07/1992,5.100464,1.437354
17/07/1992,5.136254,1.397566
20/07/1992,5.279429,1.377672
21/07/1992,5.154154,1.427407
22/07/1992,4.993087,1.392592
23/07/1992,4.867812,1.412486
24/07/1992,4.885707,1.447302
27/07/1992,4.903604,1.452274
28/07/1992,4.975188,1.472169
29/07/1992,4.939395,1.472169
30/07/1992,4.957297,1.454761
31/07/1992,4.993087,1.447302
03/08/1992,4.957297,1.467195
04/08/1992,4.9215,1.469682
05/08/1992,4.796227,1.432381
06/08/1992,4.814124,1.422433
07/08/1992,4.778329,1.407513
10/08/1992,4.670951,1.409999
11/08/1992,4.814124,1.419947
12/08/1992,4.814124,1.412486
13/08/1992,4.832019,1.409999
14/08/1992,4.957297,1.412486
17/08/1992,4.9215,1.382645
18/08/1992,4.885707,1.382645
19/08/1992,4.688847,1.377672
20/08/1992,4.814124,1.400053
21/08/1992,4.760434,1.387619
24/08/1992,4.599364,1.372697
25/08/1992,4.509886,1.400053
26/08/1992,4.581471,1.42492
27/08/1992,4.688847,1.464709
28/08/1992,4.706744,1.479629
31/08/1992,4.653055,1.482116
01/09/1992,4.760434,1.482116
02/09/1992,4.814124,1.499524
03/09/1992,4.688847,1.524391
04/09/1992,4.760434,1.511957
08/09/1992,4.509886,1.526878
09/09/1992,4.438301,1.554232
10/09/1992,4.491988,1.571639
11/09/1992,4.402507,1.566666
14/09/1992,4.617263,1.626349
15/09/1992,4.509886,1.616402
16/09/1992,4.491988,1.598995
17/09/1992,4.456195,1.613914
18/09/1992,4.438301,1.589048
21/09/1992,4.402507,1.574126
22/09/1992,4.330921,1.546772
23/09/1992,4.402507,1.574126
24/09/1992,4.402507,1.596507
25/09/1992,4.491988,1.566666
28/09/1992,4.581471,1.531851
29/09/1992,4.599364,1.566666
30/09/1992,4.714981,1.60148
01/10/1992,4.733047,1.584074
02/10/1992,4.624657,1.566666
05/10/1992,4.588526,1.626349
06/10/1992,4.606592,1.641269
07/10/1992,4.570465,1.613914
08/10/1992,4.498201,1.658677
09/10/1992,4.480138,1.638783
12/10/1992,4.588526,1.668624
13/10/1992,4.570465,1.676085
14/10/1992,4.588526,1.661163
15/10/1992,4.516268,1.681058
16/10/1992,4.534331,1.698465
19/10/1992,4.841441,1.7482
20/10/1992,4.841441,1.7482
21/10/1992,4.859502,1.790476
22/10/1992,4.895635,1.785503
23/10/1992,4.931763,1.76312
26/10/1992,5.112415,1.790476
27/10/1992,5.022089,1.750687
28/10/1992,5.022089,1.760634
29/10/1992,5.022089,1.790476
30/10/1992,4.967892,1.765608
02/11/1992,5.058218,1.783015
03/11/1992,5.022089,1.755661
04/11/1992,5.040154,1.760634
05/11/1992,5.076287,1.827778
06/11/1992,5.094346,1.845186
09/11/1992,5.148545,1.827778
10/11/1992,5.184672,1.847672
11/11/1992,5.23887,1.865079
12/11/1992,5.275001,1.860105
13/11/1992,5.293064,1.855132
16/11/1992,5.275001,1.845186
17/11/1992,5.202738,1.790476
18/11/1992,5.184672,1.830265
19/11/1992,5.166607,1.870052
20/11/1992,5.148545,1.889946
23/11/1992,5.256936,1.760634
24/11/1992,5.256936,1.820317
25/11/1992,5.401454,1.812856
27/11/1992,5.437586,1.825291
30/11/1992,5.41952,1.852645
01/12/1992,5.311129,1.852645
02/12/1992,5.311129,1.805396
03/12/1992,5.347259,1.822804
04/12/1992,5.401454,1.825291
07/12/1992,5.347259,1.857619
08/12/1992,5.383392,1.840211
09/12/1992,5.275001,1.830265
10/12/1992,5.148545,1.770581
11/12/1992,5.220806,1.718359
14/12/1992,5.23887,1.73328
15/12/1992,5.293064,1.718359
16/12/1992,5.256936,1.730793
17/12/1992,5.311129,1.790476
18/12/1992,5.329197,1.790476
21/12/1992,5.455649,1.800422
22/12/1992,5.582106,1.745714
23/12/1992,5.564039,1.735767
24/12/1992,5.564039,1.735767
28/12/1992,5.600173,1.740742
29/12/1992,5.600173,1.720846
30/12/1992,5.643867,1.708413
31/12/1992,5.625659,1.698465
04/01/1993,5.625659,1.693492
05/01/1993,5.534627,1.720846
06/01/1993,5.589248,1.770581
07/01/1993,5.480011,1.735767
08/01/1993,5.516426,1.73328
11/01/1993,5.589248,1.773068
12/01/1993,5.625659,1.785503
13/01/1993,5.698483,1.815343
14/01/1993,5.880543,1.815343
15/01/1993,5.898747,1.785503
18/01/1993,6.007987,1.775555
19/01/1993,6.062603,1.758147
20/01/1993,5.880543,1.758147
21/01/1993,5.789513,1.780529
22/01/1993,5.80772,1.778042
25/01/1993,5.753099,1.760634
26/01/1993,5.862338,1.750687
27/01/1993,6.080807,1.715873
28/01/1993,5.898747,1.730793
29/01/1993,5.916958,1.720846
01/02/1993,5.971571,1.740742
02/02/1993,5.98978,1.770581
03/02/1993,6.062603,1.758147
04/02/1993,6.135428,1.691005
05/02/1993,6.244665,1.770581
08/02/1993,6.226456,1.705926
09/02/1993,6.17184,1.668624
10/02/1993,6.17184,1.700952
11/02/1993,6.190045,1.695978
12/02/1993,6.099019,1.66365
16/02/1993,5.898747,1.59402
17/02/1993,5.844132,1.596507
18/02/1993,5.789513,1.623862
19/02/1993,5.98978,1.58656
22/02/1993,6.099019,1.526878
23/02/1993,5.935159,1.581587
24/02/1993,6.099019,1.668624
25/02/1993,6.062603,1.678571
26/02/1993,5.898747,1.658677
01/03/1993,5.971571,1.621375
02/03/1993,6.099019,1.683544
03/03/1993,6.117221,1.686031
04/03/1993,5.971571,1.666137
05/03/1993,5.953369,1.646243
08/03/1993,6.099019,1.66365
09/03/1993,6.244665,1.676085
10/03/1993,6.408515,1.691005
11/03/1993,6.317487,1.720846
12/03/1993,6.226456,1.770581
15/03/1993,6.226456,1.743226
16/03/1993,6.299281,1.745714
17/03/1993,6.117221,1.698465
18/03/1993,6.080807,1.695978
19/03/1993,5.98978,1.676085
22/03/1993,6.026192,1.658677
23/03/1993,5.935159,1.653703
24/03/1993,5.80772,1.715873
25/03/1993,5.825924,1.738253
